"","Candidate.Ref","DOJ.Extended","Duration.to.accept.offer","Notice.period","Offered.band","Pecent.hike.expected.in.CTC","Percent.hike.offered.in.CTC","Percent.difference.CTC","X","Joining.Bonus","Candidate.relocate.actual","Gender","Candidate.Source","Rex.in.Yrs","LOB","Location","Age","Status"
"83",2161845,"No",0,0,"E2",47.53,47.53,0,,"No","Yes","Male","Direct",2,"INFRA","Noida",31,"Joined"
"84",2163284,"No",0,0,"E2",0,0,0,,"No","No","Male","Employee Referral",6,"INFRA","Noida",34,"Joined"
"85",2164034,"Yes",0,45,"E2",,,,,"No","Yes","Male","Direct",6,"INFRA","Chennai",29,"Joined"
"86",2168387,"No",0,45,"E1",111.11,111.11,0,,"No","Yes","Male","Employee Referral",2,"ERS","Bangalore",24,"Joined"
"87",2168583,"Yes",0,0,"E2",45.16,45.16,0,,"No","Yes","Male","Direct",6,"CSMP","Noida",33,"Joined"
"88",2169873,"No",0,0,"E2",19.98,-10.01,-25,,"No","Yes","Male","Direct",7,"INFRA","Noida",39,"Joined"
"89",2170735,"No",0,30,"E1",35.09,45.61,7.79,,"No","No","Male","Employee Referral",4,"AXON","Noida",31,"Not Joined"
"90",2171108,"No",0,90,"E3",23.53,35.29,9.52,,"No","No","Male","Employee Referral",5,"INFRA","Noida",28,"Joined"
"91",2173534,"No",0,30,"E2",33.33,100,50,,"No","No","Female","Direct",3,"INFRA","Noida",25,"Joined"
"92",2173551,"No",0,0,"E2",28.21,21.79,-5,,"No","Yes","Male","Employee Referral",4,"INFRA","Noida",30,"Joined"
"93",2177940,"No",0,30,"E1",13.46,34.56,18.6,,"No","No","Male","Employee Referral",3,"CSMP","Gurgaon",28,"Joined"
"94",2178561,"No",0,30,"E2",36.36,29.87,-4.76,,"No","No","Male","Direct",10,"INFRA","Noida",32,"Joined"
"95",2178776,"No",0,0,"E1",50,20,-20,,"No","No","Male","Direct",1,"INFRA","Noida",28,"Joined"
"96",2180598,"No",0,0,"E2",21.54,29.23,6.33,,"No","No","Male","Direct",6,"INFRA","Chennai",30,"Joined"
"97",2181066,"No",0,30,"E2",14.29,-2.02,-14.27,,"No","No","Male","Direct",9,"INFRA","Noida",41,"Not Joined"
"98",2181792,"No",0,90,"E2",42.31,42.31,0,,"No","No","Male","Direct",7,"INFRA","Noida",30,"Joined"
"99",2181793,"No",0,60,"E3",33.35,33.35,0,,"No","No","Male","Employee Referral",7,"INFRA","Noida",32,"Not Joined"
"100",2184349,"No",0,0,"E3",,,,,"No","No","Male","Employee Referral",7,"INFRA","Noida",37,"Joined"
"101",2186869,"No",0,60,"E2",31.92,31.92,0,,"No","No","Male","Direct",4,"INFRA","Noida",29,"Joined"
"102",2187095,"No",0,0,"E2",25,25,0,,"No","No","Male","Employee Referral",5,"INFRA","Noida",31,"Joined"
"103",2187626,"No",0,0,"E2",10,25,13.64,,"No","Yes","Male","Direct",5,"INFRA","Chennai",28,"Joined"
"104",2187635,"No",0,0,"E1",38.89,20,-13.6,,"No","No","Female","Agency",1,"INFRA","Gurgaon",24,"Joined"
"105",2189313,"No",0,0,"E1",50,20,-20,,"No","No","Male","Employee Referral",1,"INFRA","Chennai",23,"Not Joined"
"106",2189516,"No",0,30,"E1",32,48,12.12,,"No","Yes","Female","Agency",2,"INFRA","Bangalore",26,"Joined"
"107",2191902,"No",0,0,"E1",35.27,27.54,-5.71,,"No","Yes","Male","Direct",1,"INFRA","Noida",24,"Joined"
"108",2193319,"No",0,0,"E3",17.65,29.41,10,,"No","Yes","Male","Direct",6,"INFRA","Chennai",27,"Joined"
"109",2193372,"No",0,0,"E3",5.88,0,-5.56,,"No","Yes","Male","Direct",7,"INFRA","Noida",34,"Joined"
"110",2194047,"Yes",0,30,"E3",29.29,29.29,0,,"No","Yes","Male","Direct",5,"INFRA","Noida",31,"Joined"
"111",2194048,"No",0,30,"E2",,,,,"No","No","Female","Direct",3,"INFRA","Bangalore",27,"Joined"
"112",2194965,"No",0,90,"E2",41.89,41.89,0,,"No","No","Male","Agency",7,"BFSI","Bangalore",30,"Joined"
"113",2195146,"No",0,30,"E2",40.63,71.88,22.22,,"No","No","Male","Direct",3,"INFRA","Mumbai",25,"Joined"
"114",2195916,"No",0,0,"E1",87.5,87.5,0,,"No","No","Female","Direct",3,"BFSI","Bangalore",28,"Joined"
"115",2197288,"No",0,0,"E0",42.86,42.86,0,,"No","Yes","Female","Direct",0,"INFRA","Noida",26,"Joined"
"116",2197423,"No",0,0,"E0",,42.86,,,"No","No","Female","Direct",0,"INFRA","Chennai",27,"Not Joined"
"117",2198224,"No",0,0,"E1",28.21,28.21,0,,"No","Yes","Male","Direct",3,"ERS","Chennai",26,"Joined"
"118",2198290,"No",0,60,"E1",33.66,,,,"Yes","No","Male","Direct",4,"CSMP","Chennai",29,"Not Joined"
"119",2199018,"No",0,0,"E3",3.7,3.7,0,,"No","Yes","Male","Direct",7,"INFRA","Noida",33,"Joined"
"120",2199208,"No",0,60,"E3",44.44,188.89,100,,"No","No","Male","Direct",5,"INFRA","Bangalore",36,"Joined"
"121",2199225,"No",0,30,"E1",50,,,,"No","No","Female","Direct",1,"INFRA","Bangalore",27,"Not Joined"
"122",2199313,"No",0,0,"E1",39.34,8.2,-22.35,,"No","Yes","Male","Direct",4,"ERS","Noida",27,"Joined"
"123",2199641,"No",0,30,"E1",23.81,42.86,15.38,,"No","No","Female","Direct",2,"INFRA","Gurgaon",24,"Joined"
"124",2201057,"No",0,0,"E2",79.47,79.47,0,,"No","Yes","Male","Direct",8,"INFRA","Noida",33,"Joined"
"125",2202344,"No",0,30,"E1",35,20,-11.11,,"No","No","Male","Direct",1,"INFRA","Noida",24,"Joined"
"126",2203772,"No",0,60,"E1",23.08,26.15,2.5,,"Yes","No","Female","Direct",3,"AXON","Kolkata",29,"Joined"
"127",2204272,"No",0,0,"E2",49.01,49.01,0,,"No","Yes","Female","Direct",5,"INFRA","Noida",36,"Joined"
"128",2205441,"No",0,0,"E3",,,,,"No","Yes","Male","Direct",7,"INFRA","Gurgaon",34,"Joined"
"129",2206093,"Yes",0,0,"E3",33.86,29.92,-2.94,,"No","No","Female","Direct",9,"EAS","Hyderabad",34,"Joined"
"130",2206428,"No",0,0,"E2",20,20,0,,"No","Yes","Male","Employee Referral",6,"INFRA","Noida",30,"Joined"
"131",2206954,"No",0,0,"E1",22.22,,,,"No","No","Male","Direct",4,"ERS","Noida",27,"Not Joined"
"132",2207826,"Yes",0,90,"E2",50,-9.38,-39.58,,"No","No","Male","Direct",4,"INFRA","Noida",28,"Joined"
"133",2207871,"Yes",0,0,"E2",25,5.42,-15.67,,"No","Yes","Male","Direct",7,"AXON","Noida",35,"Joined"
"134",2207926,"No",0,45,"E3",,,,,"No","Yes","Male","Direct",8,"INFRA","Noida",33,"Joined"
"135",2207929,"No",0,0,"E2",30.95,30.95,0,,"No","Yes","Male","Direct",4,"INFRA","Chennai",27,"Joined"
"136",2209959,"No",0,0,"E1",26.67,26.67,0,,"No","Yes","Male","Direct",2,"Healthcare","Noida",29,"Joined"
"137",2210229,"Yes",0,45,"E2",33.69,33.69,0,,"No","Yes","Male","Employee Referral",3,"INFRA","Noida",28,"Joined"
"138",2211315,"No",0,60,"E2",42.86,42.86,0,,"No","No","Female","Employee Referral",6,"INFRA","Noida",29,"Joined"
"139",2211401,"No",0,30,"E2",33.33,33.33,0,,"No","Yes","Male","Employee Referral",2,"INFRA","Noida",30,"Joined"
"140",2211859,"No",0,60,"E1",21.74,0.35,-17.57,,"No","No","Male","Direct",3,"ERS","Chennai",27,"Not Joined"
"141",2212289,"No",0,0,"E2",58.23,53.36,-3.08,,"No","Yes","Male","Direct",3,"INFRA","Bangalore",29,"Joined"
"142",2212306,"No",0,0,"E2",34.87,31.58,-2.44,,"No","No","Male","Direct",6,"INFRA","Chennai",26,"Joined"
"143",2212607,"No",0,0,"E1",16.67,16.67,0,,"No","Yes","Female","Direct",4,"ERS","Noida",30,"Joined"
"144",2212628,"No",0,30,"E1",,,,,"No","Yes","Female","Direct",3,"INFRA","Noida",25,"Joined"
"145",2212769,"Yes",0,0,"E2",93.33,78.8,-7.52,,"No","No","Female","Direct",8,"CSMP","Hyderabad",30,"Joined"
"146",2212796,"No",0,30,"E1",40,0,-28.57,,"No","No","Male","Direct",1,"INFRA","Noida",24,"Joined"
"147",2213394,"Yes",0,0,"E2",40,40,0,,"No","Yes","Male","Direct",10,"AXON","Bangalore",35,"Joined"
"148",2213883,"No",0,0,"E2",,81.25,,,"No","No","Male","Direct",2,"INFRA","Noida",26,"Not Joined"
"149",2213974,"No",0,0,"E2",38.11,28.91,-6.67,,"No","No","Male","Direct",6,"INFRA","Chennai",28,"Joined"
"150",2214384,"No",0,0,"E1",19.34,19.34,0,,"No","Yes","Male","Direct",1,"INFRA","Noida",25,"Joined"
"151",2214582,"No",0,30,"E2",42.86,42.86,0,,"No","No","Male","Direct",3,"INFRA","Noida",27,"Joined"
"152",2214852,"No",0,0,"E3",15.87,10.08,-5,,"No","Yes","Male","Direct",10,"ERS","Noida",35,"Joined"
"153",2215762,"Yes",0,30,"E1",55,55,0,,"No","No","Male","Direct",1,"Healthcare","Noida",26,"Joined"
"154",2216175,"No",0,60,"E2",33.93,25,-6.67,,"No","No","Male","Agency",7,"INFRA","Noida",29,"Not Joined"
"155",2216838,"No",0,30,"E1",52.78,52.78,0,,"No","No","Female","Direct",3,"ERS","Chennai",25,"Joined"
"156",2217893,"No",0,0,"E2",,,,,"No","Yes","Female","Direct",3,"INFRA","Bangalore",29,"Joined"
"157",2217908,"No",0,0,"E2",26.67,26.67,0,,"No","No","Male","Direct",7,"AXON","Bangalore",31,"Joined"
"158",2217929,"No",0,0,"E2",15.07,15.07,0,,"No","No","Female","Agency",7,"ERS","Bangalore",34,"Joined"
"159",2218090,"No",0,90,"E2",0,0,0,,"No","No","Male","Employee Referral",9,"CSMP","Kolkata",33,"Joined"
"160",2218234,"No",0,90,"E2",42.72,42.72,0,,"No","No","Male","Direct",2,"INFRA","Noida",28,"Joined"
"161",2218339,"No",0,0,"E1",83.25,72.77,-5.71,,"No","No","Male","Direct",5,"ERS","Bangalore",31,"Joined"
"162",2219378,"No",0,0,"E1",63.93,29.1,-21.25,,"No","No","Male","Direct",5,"ERS","Chennai",30,"Joined"
"163",2219532,"No",0,0,"E2",41.94,41.94,0,,"No","No","Male","Direct",3,"INFRA","Pune",27,"Joined"
"164",2220806,"No",0,0,"E1",45.83,37.5,-5.71,,"No","No","Male","Direct",3,"ERS","Chennai",27,"Joined"
"165",2221170,"Yes",0,45,"E2",48.94,48.94,0,,"No","Yes","Male","Direct",3,"INFRA","Gurgaon",31,"Joined"
"166",2221231,"No",0,0,"E1",38.1,38.1,0,,"No","No","Male","Direct",3,"ETS","Hyderabad",29,"Joined"
"167",2221586,"No",0,0,"E2",69.15,69.15,0,,"No","Yes","Male","Direct",3,"INFRA","Chennai",25,"Joined"
"168",2221817,"No",0,60,"E2",,,,,"No","No","Male","Direct",6,"ERS","Noida",29,"Not Joined"
"169",2221895,"Yes",0,90,"E2",28.57,11.29,-13.44,,"No","No","Male","Direct",8,"ERS","Chennai",34,"Joined"
"170",2222753,"No",0,0,"E2",22.6,22.6,0,,"No","Yes","Male","Employee Referral",6,"INFRA","Noida",29,"Joined"
"171",2223850,"No",0,0,"E2",60.26,60.26,0,,"No","Yes","Male","Direct",3,"INFRA","Noida",30,"Joined"
"172",2224193,"Yes",0,0,"E1",-1.67,-1.67,0,,"No","No","Male","Direct",3,"EAS","Chennai",26,"Joined"
"173",2224449,"No",0,30,"E1",,,,,"No","Yes","Male","Direct",1,"INFRA","Noida",24,"Joined"
"174",2224685,"No",0,45,"E0",,,,,"No","Yes","Male","Direct",0,"INFRA","Noida",23,"Joined"
"175",2225524,"No",0,0,"E2",42.86,42.86,0,,"No","No","Male","Employee Referral",6,"INFRA","Noida",28,"Joined"
"176",2225580,"No",0,0,"E1",1.54,1.54,0,,"No","No","Male","Direct",4,"ERS","Bangalore",26,"Joined"
"177",2226400,"No",0,75,"E1",53.33,53.33,0,,"No","Yes","Male","Direct",3,"ERS","Noida",28,"Joined"
"178",2226546,"No",0,0,"E2",25,25,0,,"No","Yes","Male","Employee Referral",4,"INFRA","Noida",25,"Joined"
"179",2229645,"No",0,30,"E1",53.85,116.15,40.5,,"No","No","Male","Employee Referral",1,"INFRA","Noida",23,"Joined"
"180",2234726,"No",0,45,"E1",38.89,38.89,0,,"No","No","Male","Employee Referral",3,"ERS","Chennai",26,"Joined"
"181",2236082,"No",0,0,"E2",30,-4,-26.15,,"No","No","Male","Employee Referral",6,"INFRA","Noida",32,"Joined"
"182",2236369,"Yes",0,0,"E1",41.82,41.82,0,,"Yes","No","Male","Employee Referral",3,"ETS","Bangalore",25,"Joined"
"183",2241649,"No",0,30,"E2",42.86,30.95,-8.33,,"No","No","Male","Employee Referral",5,"INFRA","Noida",28,"Not Joined"
"184",2242995,"Yes",0,30,"E1",46.31,27.23,-13.04,,"No","No","Male","Employee Referral",2,"INFRA","Noida",24,"Joined"
"185",2243583,"No",0,0,"E2",34.81,34.81,0,,"No","Yes","Male","Direct",3,"INFRA","Chennai",27,"Joined"
"186",2244749,"No",0,30,"E2",23.7,23.7,0,,"No","No","Male","Employee Referral",3,"INFRA","Cochin",25,"Joined"
"187",2246905,"No",0,30,"E2",35,16.67,-13.58,,"No","No","Male","Agency",5,"INFRA","Noida",27,"Joined"
"188",2247722,"No",0,30,"E1",102.02,102.02,0,,"No","No","Female","Direct",3,"AXON","Bangalore",27,"Joined"
"189",2265399,"No",0,0,"E1",,,,,"No","Yes","Female","Direct",1,"INFRA","Chennai",24,"Joined"
"190",2265400,"No",0,0,"E2",,,,,"No","Yes","Male","Direct",5,"INFRA","Noida",31,"Joined"
"191",2280656,"No",0,45,"E1",,,,,"No","No","Male","Direct",3,"ERS","Noida",27,"Not Joined"
"192",2280850,"No",0,0,"E2",18.94,,,,"No","No","Male","Direct",8,"ERS","Noida",36,"Not Joined"
"193",2280918,"No",0,45,"E1",,,,,"No","No","Male","Employee Referral",1,"INFRA","Noida",25,"Not Joined"
"194",2280985,"No",0,0,"E2",45.45,45.45,0,,"No","Yes","Male","Direct",4,"INFRA","Noida",32,"Joined"
"195",2281166,"Yes",0,75,"E1",75.72,53.35,-12.73,,"No","No","Male","Direct",3,"ERS","Bangalore",26,"Not Joined"
"196",2281287,"No",0,0,"E1",,,,,"No","Yes","Female","Direct",1,"INFRA","Chennai",24,"Joined"
"197",2281420,"No",0,45,"E2",23.15,23.15,0,,"No","Yes","Male","Direct",5,"INFRA","Bangalore",30,"Joined"
"198",2281575,"No",0,30,"E1",19.05,60.38,34.72,,"No","No","Female","Agency",1,"INFRA","Noida",31,"Joined"
"199",2281669,"No",0,30,"E1",49.25,49.25,0,,"No","Yes","Female","Direct",3,"ERS","Bangalore",26,"Joined"
"200",2281687,"Yes",0,45,"E1",38.89,38.89,0,,"No","Yes","Male","Direct",4,"ERS","Noida",28,"Joined"
"201",2281689,"No",0,30,"E2",52.94,47.06,-3.85,,"No","No","Male","Direct",7,"AXON","Kolkata",30,"Joined"
"202",2281713,"No",0,0,"E0",42.86,42.86,0,,"No","Yes","Female","Direct",0,"INFRA","Chennai",22,"Joined"
"203",2281719,"No",0,0,"E0",42.86,42.86,0,,"No","Yes","Male","Direct",0,"INFRA","Chennai",23,"Joined"
"204",2281720,"No",0,0,"E3",23.08,25,1.56,,"No","Yes","Male","Direct",6,"INFRA","Chennai",31,"Joined"
"205",2281722,"No",0,0,"E0",42.86,42.86,0,,"No","Yes","Male","Direct",0,"INFRA","Chennai",23,"Joined"
"206",2281725,"No",0,0,"E0",42.86,42.86,0,,"No","Yes","Male","Direct",0,"INFRA","Chennai",23,"Joined"
"207",2281734,"No",0,0,"E0",42.86,42.86,0,,"No","Yes","Female","Direct",0,"INFRA","Chennai",22,"Joined"
"208",2281758,"No",0,0,"E0",42.86,42.86,0,,"No","Yes","Male","Direct",0,"INFRA","Chennai",23,"Joined"
"209",2281779,"No",0,30,"E1",,,,,"No","No","Male","Agency",4,"INFRA","Noida",27,"Joined"
"210",2281781,"No",0,0,"E0",42.86,42.86,0,,"No","Yes","Male","Direct",0,"INFRA","Chennai",24,"Joined"
"211",2281783,"No",0,0,"E0",,42.86,,,"No","No","Female","Direct",0,"INFRA","Chennai",23,"Not Joined"
"212",2281798,"No",0,0,"E0",42.86,42.86,0,,"No","Yes","Female","Direct",0,"INFRA","Chennai",23,"Joined"
"213",2281815,"No",0,0,"E0",42.86,42.86,0,,"No","Yes","Male","Direct",0,"INFRA","Chennai",22,"Joined"
"214",2281818,"No",0,0,"E0",42.86,42.86,0,,"No","Yes","Male","Direct",0,"INFRA","Chennai",23,"Joined"
"215",2281820,"No",0,0,"E0",,42.86,,,"No","No","Female","Direct",0,"INFRA","Chennai",23,"Not Joined"
"216",2281828,"No",0,0,"E0",42.86,42.86,0,,"No","Yes","Female","Direct",0,"INFRA","Chennai",22,"Joined"
